ID,Movie Name,Rating,runtime_minutes,Runtime,Genre,Metascore,Plot,Directors,Stars,Votes,Gross,Link,Votes Percent Rank,Rating Percent Rank,Significance Score
8256,2012,5.8,158,158 min,"Action, Adventure, Sci-Fi",49,A frustrated writer struggles to keep his family alive when a series of global catastrophes threatens to annihilate mankind.,"['Roland Emmerich', 'John Cusack', 'Thandiwe Newton', 'Chiwetel Ejiofor', 'Amanda Peet']","['John Cusack', 'Thandiwe Newton', 'Chiwetel Ejiofor', 'Amanda Peet']",386649,166112167,https://www.imdb.com/title/tt1190080/,0.954,0.15,1.104
5820,Terminator Salvation,6.5,115,115 min,"Action, Adventure, Sci-Fi",49,"In 2018, a mysterious new weapon in the war against the machines, half-human and half-machine, comes to John Connor on the eve of a resistance attack on Skynet. But whose side is he on, and can he be trusted?","['McG', 'Christian Bale', 'Sam Worthington', 'Anton Yelchin', 'Moon Bloodgood']","['Christian Bale', 'Sam Worthington', 'Anton Yelchin', 'Moon Bloodgood']",369387,125322469,https://www.imdb.com/title/tt0438488/,0.952,0.385,1.337
6952,Thor: Love and Thunder,6.2,118,118 min,"Action, Adventure, Comedy",57,"Thor enlists the help of Valkyrie, Korg and ex-girlfriend Jane Foster to fight Gorr the God Butcher, who intends to make the gods extinct.","['Taika Waititi', 'Chris Hemsworth', 'Natalie Portman', 'Christian Bale', 'Tessa Thompson']","['Chris Hemsworth', 'Natalie Portman', 'Christian Bale', 'Tessa Thompson']",366127,343256830,https://www.imdb.com/title/tt10648342/,0.951,0.265,1.216
6180,Night at the Museum,6.4,108,108 min,"Adventure, Comedy, Family",48,A newly recruited night security guard at the Museum of Natural History discovers that an ancient curse causes the animals and exhibits on display to come to life and wreak havoc.,"['Shawn Levy', 'Ben Stiller', 'Carla Gugino', 'Ricky Gervais', 'Dick Van Dyke']","['Ben Stiller', 'Carla Gugino', 'Ricky Gervais', 'Dick Van Dyke']",361342,250863268,https://www.imdb.com/title/tt0477347/,0.95,0.344,1.294
5319,Bird Box,6.6,124,124 min,"Horror, Mystery, Sci-Fi",51,"Five years after an ominous unseen presence drives most of society to suicide, a mother and her two children make a desperate bid to reach safety.","['Susanne Bier', 'Sandra Bullock', 'Trevante Rhodes', 'John Malkovich', 'Sarah Paulson']","['Sandra Bullock', 'Trevante Rhodes', 'John Malkovich', 'Sarah Paulson']",360079,360079,https://www.imdb.com/title/tt2737304/,0.949,0.426,1.375
6571,Eternals,6.3,156,156 min,"Action, Adventure, Fantasy",52,"The saga of the Eternals, a race of immortal beings who lived on Earth and shaped its history and civilizations.","['Chloé Zhao', 'Gemma Chan', 'Richard Madden', 'Angelina Jolie', 'Salma Hayek']","['Gemma Chan', 'Richard Madden', 'Angelina Jolie', 'Salma Hayek']",360674,164870234,https://www.imdb.com/title/tt9032400/,0.949,0.305,1.254
5889,Due Date,6.5,95,95 min,"Comedy, Drama",51,High-strung father-to-be Peter Highman is forced to hitch a ride with aspiring actor Ethan Tremblay on a road trip in order to make it to his child's birth on time.,"['Todd Phillips', 'Robert Downey Jr.', 'Zach Galifianakis', 'Michelle Monaghan', 'Jamie Foxx']","['Robert Downey Jr.', 'Zach Galifianakis', 'Michelle Monaghan', 'Jamie Foxx']",350625,100539043,https://www.imdb.com/title/tt1231583/,0.948,0.385,1.333
6150,The Expendables,6.4,103,103 min,"Action, Adventure, Thriller",45,A CIA operative hires a team of mercenaries to eliminate a Latin dictator and a renegade CIA agent.,"['Sylvester Stallone', 'Sylvester Stallone', 'Jason Statham', 'Jet Li', 'Dolph Lundgren']","['Sylvester Stallone', 'Jason Statham', 'Jet Li', 'Dolph Lundgren']",353757,103068524,https://www.imdb.com/title/tt1320253/,0.948,0.344,1.292
7370,Mission: Impossible II,6.1,123,123 min,"Action, Adventure, Thriller",59,"IMF agent Ethan Hunt is sent to Sydney to find and destroy a genetically modified disease called ""Chimera"".","['John Woo', 'Tom Cruise', 'Dougray Scott', 'Thandiwe Newton', 'Ving Rhames']","['Tom Cruise', 'Dougray Scott', 'Thandiwe Newton', 'Ving Rhames']",353687,215409889,https://www.imdb.com/title/tt0120755/,0.948,0.229,1.177
4889,Kingsman: The Golden Circle,6.7,141,141 min,"Action, Adventure, Comedy",44,"After the Kingsman's headquarters are destroyed and the world is held hostage, an allied spy organization in the United States is discovered. These two elite secret agencies must band together to defeat a common enemy.","['Matthew Vaughn', 'Taron Egerton', 'Colin Firth', 'Mark Strong', 'Channing Tatum']","['Taron Egerton', 'Colin Firth', 'Mark Strong', 'Channing Tatum']",344215,100234838,https://www.imdb.com/title/tt4649466/,0.946,0.469,1.415
5792,The Hunger Games: Mockingjay - Part 2,6.5,137,137 min,"Action, Adventure, Sci-Fi",65,Katniss and a team of rebels from District 13 prepare for the final battle that will decide the fate of Panem.,"['Francis Lawrence', 'Jennifer Lawrence', 'Josh Hutcherson', 'Liam Hemsworth', 'Woody Harrelson']","['Jennifer Lawrence', 'Josh Hutcherson', 'Liam Hemsworth', 'Woody Harrelson']",344071,281723902,https://www.imdb.com/title/tt1951266/,0.946,0.385,1.331
6176,Click,6.4,107,107 min,"Comedy, Drama, Fantasy",45,A workaholic architect finds a universal remote that allows him to fast-forward and rewind to different parts of his life. Complications arise when the remote starts to overrule his choices.,"['Frank Coraci', 'Adam Sandler', 'Kate Beckinsale', 'Christopher Walken', 'David Hasselhoff']","['Adam Sandler', 'Kate Beckinsale', 'Christopher Walken', 'David Hasselhoff']",342684,137355633,https://www.imdb.com/title/tt0389860/,0.946,0.344,1.29
4916,The Proposal,6.7,108,108 min,"Comedy, Drama, Romance",48,A pushy boss forces her young assistant to marry her in order to keep her visa status in the U.S. and avoid deportation to Canada.,"['Anne Fletcher', 'Sandra Bullock', 'Ryan Reynolds', 'Mary Steenburgen', 'Craig T. Nelson']","['Sandra Bullock', 'Ryan Reynolds', 'Mary Steenburgen', 'Craig T. Nelson']",339768,163958031,https://www.imdb.com/title/tt1041829/,0.945,0.469,1.414
5860,The Interview,6.5,112,112 min,"Action, Adventure, Comedy",52,"Dave Skylark and his producer Aaron Rapaport run the celebrity tabloid show ""Skylark Tonight"". When they land an interview with a surprise fan, North Korean dictator Jong-Un Kim, they are recruited by the CIA to assassinate him.","['Evan Goldberg', 'Seth Rogen', 'James Franco', 'Seth Rogen', 'Randall Park', 'Lizzy Caplan']","['Seth Rogen', 'James Franco', 'Seth Rogen', 'Randall Park', 'Lizzy Caplan']",341914,6105175,https://www.imdb.com/title/tt2788710/,0.945,0.385,1.33
6972,Pearl Harbor,6.2,183,183 min,"Action, Drama, History",44,A tale of war and romance mixed in with history. The story follows two lifelong friends and a beautiful nurse who are caught up in the horror of an infamous Sunday morning in 1941.,"['Michael Bay', 'Ben Affleck', 'Kate Beckinsale', 'Josh Hartnett', 'William Lee Scott']","['Ben Affleck', 'Kate Beckinsale', 'Josh Hartnett', 'William Lee Scott']",341565,198542554,https://www.imdb.com/title/tt0213149/,0.945,0.265,1.21
